"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","19-Feb-2025","134.54","134.50","136.88","133.03","135.80","135.76","135.87","1,84,47,487","2,50,63,99,510.52","1,42,282","43,28,733","23.47"
"TATASTEEL","EQ","20-Feb-2025","135.76","135.27","138.36","135.00","138.00","138.04","137.22","2,41,39,808","3,31,25,52,015.27","1,75,522","1,05,55,441","43.73"
"TATASTEEL","EQ","21-Feb-2025","138.04","137.91","141.60","137.15","140.60","140.76","140.19","4,19,87,785","5,88,62,50,057.98","2,58,806","1,47,67,144","35.17"
"TATASTEEL","EQ","24-Feb-2025","140.76","138.81","140.66","136.66","137.39","137.65","138.86","2,51,93,205","3,49,82,35,797.80","1,94,696","77,70,450","30.84"
"TATASTEEL","EQ","25-Feb-2025","137.65","138.49","139.35","136.70","137.00","137.07","137.56","2,35,75,603","3,24,30,71,564.86","2,02,741","83,61,925","35.47"
"TATASTEEL","EQ","27-Feb-2025","137.07","137.21","138.99","135.88","138.80","138.69","137.24","3,07,47,044","4,21,96,34,170.42","1,77,643","1,53,03,125","49.77"
"TATASTEEL","EQ","28-Feb-2025","138.69","137.80","137.80","134.06","137.16","137.20","136.23","4,55,40,594","6,20,39,16,419.27","2,70,079","2,18,50,030","47.98"
"TATASTEEL","EQ","03-Mar-2025","137.20","137.00","139.05","134.31","138.32","138.57","137.02","3,11,54,401","4,26,88,41,100.55","2,28,959","1,24,86,250","40.08"
"TATASTEEL","EQ","04-Mar-2025","138.57","136.15","140.94","135.81","139.29","139.34","139.13","2,86,34,645","3,98,38,76,585.13","1,73,877","94,20,679","32.90"
"TATASTEEL","EQ","05-Mar-2025","139.34","139.00","146.49","139.00","145.68","146.10","144.05","6,21,09,377","8,94,68,72,004.34","3,84,142","2,88,16,049","46.40"
"TATASTEEL","EQ","06-Mar-2025","146.10","146.79","152.20","146.20","149.74","150.44","149.77","7,91,21,467","11,84,98,00,824.69","3,48,979","3,87,52,788","48.98"
"TATASTEEL","EQ","07-Mar-2025","150.44","149.74","152.45","149.27","151.50","151.56","151.57","8,18,21,791","12,40,15,72,015.30","2,98,325","4,94,64,819","60.45"
"TATASTEEL","EQ","10-Mar-2025","151.56","151.56","154.24","150.41","150.65","151.05","152.25","5,44,50,331","8,29,02,75,937.58","2,72,383","2,76,75,732","50.83"
"TATASTEEL","EQ","11-Mar-2025","151.05","148.10","151.70","148.00","150.83","150.75","150.56","3,59,16,900","5,40,77,20,556.67","1,82,888","1,53,12,958","42.63"
"TATASTEEL","EQ","12-Mar-2025","150.75","151.00","152.28","147.70","150.28","150.30","149.75","2,63,77,549","3,95,00,05,335.92","1,52,112","98,11,597","37.20"
"TATASTEEL","EQ","13-Mar-2025","150.30","152.00","153.56","150.02","150.70","150.88","151.47","4,82,86,431","7,31,40,85,180.50","2,06,875","2,54,10,188","52.62"
"TATASTEEL","EQ","17-Mar-2025","150.88","151.99","152.64","150.90","152.01","151.81","151.74","3,58,79,781","5,44,44,35,545.07","1,91,938","2,12,04,636","59.10"
"TATASTEEL","EQ","18-Mar-2025","151.81","153.00","154.83","152.22","154.60","154.66","153.68","3,81,25,586","5,85,91,64,416.95","2,77,281","2,25,17,237","59.06"
"TATASTEEL","EQ","19-Mar-2025","154.66","156.80","159.20","156.50","158.54","158.60","158.11","6,61,61,413","10,46,08,45,185.47","3,62,436","4,09,44,691","61.89"
"TATASTEEL","EQ","20-Mar-2025","158.60","160.00","160.10","156.65","159.03","159.04","158.64","3,98,89,517","6,32,80,46,698.67","1,93,466","2,26,57,432","56.80"
"TATASTEEL","EQ","21-Mar-2025","159.04","159.03","159.75","156.82","157.08","157.28","157.96","4,91,84,821","7,76,92,39,117.59","1,54,615","3,30,06,839","67.11"
"TATASTEEL","EQ","24-Mar-2025","157.28","158.00","159.00","157.11","158.29","158.42","158.42","3,09,05,773","4,89,59,84,860.52","1,54,989","1,91,64,089","62.01"
"TATASTEEL","EQ","25-Mar-2025","158.42","159.00","159.00","156.05","156.27","156.73","157.22","2,84,67,187","4,47,57,45,077.22","1,82,282","1,24,42,133","43.71"
"TATASTEEL","EQ","26-Mar-2025","156.73","156.20","157.54","155.01","155.07","155.81","156.44","2,31,82,869","3,62,67,32,598.78","1,42,138","1,42,83,560","61.61"
"TATASTEEL","EQ","27-Mar-2025","155.81","154.80","156.10","154.20","155.36","155.42","155.47","2,59,09,068","4,02,80,14,189.92","1,36,794","1,62,32,793","62.65"
"TATASTEEL","EQ","28-Mar-2025","155.42","155.38","156.91","153.37","153.98","154.24","154.50","2,45,89,315","3,79,89,35,508.26","1,05,656","1,41,47,410","57.53"
"TATASTEEL","EQ","01-Apr-2025","154.24","152.07","155.34","152.07","153.25","153.12","153.41","2,91,42,122","4,47,07,69,084.97","1,51,632","1,47,51,159","50.62"
