Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-March-2025,3347.95,3359.00,3278.00,3349.20,3313.590427246052341457,58959,4274,195365978.00,36439,61.80,81.00,1.25
19-March-2025,3278.00,3326.00,3269.55,3318.80,3303.741077797181297193,81314,5893,268640402.00,48565,59.73,56.45,40.80
18-March-2025,3190.75,3278.70,3190.75,3271.05,3243.017435145975883865,161054,13795,522300930.00,95250,59.14,87.95,80.30
17-March-2025,3189.00,3240.00,3161.00,3182.90,3185.987261626076361794,146094,9568,465453623.00,99588,68.17,79.00,-6.10
13-March-2025,3213.70,3233.95,3179.25,3188.40,3209.835547397427496880,222818,10799,715209137.00,175945,78.96,54.70,-25.30
12-March-2025,3219.10,3220.00,3153.65,3193.90,3171.760998196947508316,118133,6606,374689642.00,84661,71.67,66.35,-25.20
11-March-2025,3161.20,3202.50,3160.00,3194.25,3185.788666889905867470,53754,5747,171248884.00,22580,42.01,42.50,33.05
10-March-2025,3268.25,3268.25,3169.80,3177.45,3204.891522408324262321,85437,8880,273816317.00,56918,66.62,98.45,-90.80
7-March-2025,3264.95,3289.50,3241.50,3245.55,3259.850466618808327351,27860,2578,90819434.00,17918,64.31,48.00,-19.40
6-March-2025,3264.45,3266.80,3215.10,3259.80,3245.965450399087799315,26310,3178,85401351.00,11320,43.03,51.70,-4.65
5-March-2025,3212.60,3245.00,3190.00,3239.15,3226.516590683845391476,100900,8419,325555524.00,68965,68.35,55.00,26.55
4-March-2025,3189.95,3220.00,3168.05,3213.30,3202.406754049970130372,56914,6897,182261778.00,25880,45.47,51.95,23.35
3-March-2025,3161.25,3226.90,3161.00,3198.35,3196.767137517278608877,122261,12687,390839947.00,68014,55.63,65.90,37.10
28-February-2025,3200.00,3200.00,3141.30,3164.75,3168.396952994232224911,93797,10169,297186129.00,45604,48.62,58.70,-35.25
27-February-2025,3256.80,3258.40,3185.05,3209.65,3222.180222991865054252,86909,6751,280036461.00,54141,62.30,73.35,-47.15
25-February-2025,3239.95,3247.20,3207.45,3226.60,3227.208528344509285885,154051,14233,497154701.00,76969,49.96,39.75,-13.35
24-February-2025,3309.85,3326.10,3250.05,3257.00,3298.766310045883453772,88703,7879,292610468.00,55923,63.05,76.05,-52.85
21-February-2025,3279.25,3325.00,3275.00,3314.60,3295.418408458963058240,52867,3562,174218885.00,30610,57.90,50.00,35.35
20-February-2025,3273.70,3286.70,3247.60,3275.40,3275.687946043447572739,51004,5948,167073188.00,34577,67.79,39.10,1.70
19-February-2025,3224.30,3302.00,3211.30,3277.75,3274.873092489194116095,87221,4977,285637706.00,63676,73.01,90.70,53.45
18-February-2025,3229.95,3237.25,3183.25,3220.75,3208.992194549074087335,69823,5799,224061462.00,40288,57.70,54.00,-9.20
17-February-2025,3203.05,3238.10,3193.25,3221.55,3212.691241190410242206,64986,5982,208779953.00,30980,47.67,44.85,18.50
14-February-2025,3272.05,3284.65,3223.40,3238.10,3246.406097609324822582,25223,2577,81884101.00,12822,50.83,61.25,-33.95
13-February-2025,3318.95,3318.95,3252.55,3268.70,3274.859510642899070097,64738,5108,212007855.00,38051,58.78,66.40,-50.25
12-February-2025,3250.25,3300.00,3220.05,3289.30,3267.379780020734773645,83917,7380,274188709.00,33980,40.49,79.95,39.05
11-February-2025,3375.00,3375.00,3231.10,3240.25,3272.158707829887713833,119427,9592,390784098.00,51465,43.09,143.90,-134.75
10-February-2025,3343.85,3347.80,3295.00,3328.60,3315.804450940378357509,72524,6533,240475402.00,34402,47.44,52.80,-15.25
7-February-2025,3397.85,3397.85,3312.00,3337.40,3340.144898160964999011,101140,8147,337822255.00,61388,60.70,85.85,-60.45
6-February-2025,3400.40,3404.00,3343.00,3352.90,3358.500063970859392051,132873,6443,446253979.00,98505,74.13,61.00,-47.50
5-February-2025,3467.80,3467.80,3380.90,3384.40,3425.710758758542448880,111063,11510,380469714.00,71050,63.97,86.90,-83.40
